applicant_id,gender,region_tier,age_band,age,education,employment_type,monthly_income_declared,loan_amount_requested,loan_tenure_months,loan_purpose,emi_to_income,is_new_to_credit,bureau_score,credit_history_months,num_existing_loans,enquiries_6m,upi_txn_count_3m,upi_inflow_median,upi_inflow_cv,upi_merchant_diversity,avg_balance_3m,days_balance_below_500,salary_regularity,mobile_tenure_months,recharge_regularity,utility_ontime_ratio,sim_changes_12m,default_12m
APP0002685,female,rural,21-30,27,postgraduate,salaried_informal,5400.0,39200.0,24,consumer_durable,0.3539,1,,,0,2,64,2031.49,0.8662,10,1427.15,20,0.5184,12.0,0.624,0.8318,0,0
APP0002800,male,tier3,31-40,33,graduate,salaried_informal,21200.0,35800.0,24,business_working_capital,0.0823,1,,,0,0,61,3774.14,0.0685,14,4161.14,4,1.0,36.0,0.2896,0.1941,1,0
APP0002958,female,tier3,21-30,30,upto_secondary,self_employed,9500.0,46900.0,18,consumer_durable,0.3209,1,,,0,3,60,2066.11,0.4096,12,3790.86,14,0.4447,45.0,0.1031,0.7775,0,0
APP0003123,female,metro,31-40,31,upto_secondary,gig_worker,6100.0,13200.0,12,education,0.211,0,508.0,52.0,0,0,63,1169.81,0.5007,11,2495.2,26,0.0688,37.0,0.4054,0.3937,0,0
APP0003172,male,tier2,31-40,36,upto_secondary,agri,6100.0,44700.0,12,business_working_capital,0.7145,0,553.0,69.0,1,2,45,1136.11,0.9588,7,516.94,33,0.0,74.0,0.3872,0.5221,0,1
APP0003293,female,tier3,31-40,31,upto_secondary,gig_worker,5900.0,57500.0,36,education,0.3167,0,782.0,28.0,1,0,65,1044.07,0.5919,12,1525.34,16,0.8811,13.0,0.6088,0.7999,0,0
APP0003361,male,tier3,21-30,28,higher_secondary,salaried_informal,17900.0,61200.0,12,two_wheeler,0.3334,1,,,0,1,65,2345.63,0.2573,13,3347.45,7,0.7206,33.0,0.6565,1.0,1,0
APP0003408,male,rural,21-30,30,postgraduate,salaried_informal,9700.0,26400.0,18,two_wheeler,0.1769,1,,,0,2,54,1643.87,1.3712,13,1490.17,21,0.119,43.0,0.4609,0.3934,0,0
APP0003422,male,tier3,31-40,38,upto_secondary,salaried_informal,28400.0,53700.0,24,consumer_durable,0.0922,0,708.0,30.0,0,2,68,3593.13,0.3667,13,7821.22,8,1.0,8.0,0.1447,0.4844,0,0
APP0003809,male,metro,41-50,47,higher_secondary,salaried_formal,50100.0,143800.0,24,consumer_durable,0.1399,0,816.0,74.0,1,3,73,7005.69,0.05,13,8277.87,4,1.0,21.0,0.6563,0.4822,0,0
APP0003835,male,rural,51+,52,upto_secondary,salaried_informal,5700.0,27300.0,12,consumer_durable,0.467,0,551.0,25.0,2,2,50,1382.65,1.117,13,480.2,32,0.0979,12.0,0.2978,0.54,0,1
APP0003881,female,tier2,31-40,34,higher_secondary,self_employed,6200.0,8900.0,12,consumer_durable,0.14,1,,,0,1,46,1308.14,1.1056,7,1080.01,26,0.1721,23.0,0.2364,0.5568,0,0
APP0003968,male,rural,21-30,30,higher_secondary,gig_worker,10600.0,49400.0,6,business_working_capital,0.9088,1,,,0,3,56,1915.61,0.5394,9,2284.49,19,0.4409,60.0,1.0,0.776,0,0
APP0004072,male,metro,41-50,42,graduate,self_employed,8900.0,57200.0,18,business_working_capital,0.4178,1,,,0,1,54,1711.57,1.3106,13,1684.77,22,0.3203,40.0,0.1262,0.0586,1,1
APP0004095,male,tier3,41-50,42,higher_secondary,gig_worker,6400.0,36100.0,12,education,0.55,1,,,0,1,55,1526.77,0.8748,4,610.19,32,0.044,37.0,0.588,0.4928,1,0
APP0004097,female,tier2,21-30,27,graduate,self_employed,8400.0,69600.0,24,consumer_durable,0.4039,0,526.0,36.0,2,1,57,2693.93,0.7404,8,1231.57,30,0.1495,41.0,0.8698,0.5136,0,1
APP0004135,male,metro,31-40,31,higher_secondary,salaried_informal,7000.0,34800.0,6,business_working_capital,0.9694,1,,,0,0,50,948.55,0.3751,11,1088.81,26,0.1986,11.0,0.3251,0.6202,2,1
APP0004267,male,rural,31-40,36,graduate,salaried_formal,19400.0,74500.0,12,two_wheeler,0.3744,1,,,0,2,73,4611.92,0.2768,14,3366.69,4,1.0,36.0,0.3501,0.7409,1,1
APP0004557,male,tier3,21-30,30,higher_secondary,gig_worker,7200.0,28700.0,24,two_wheeler,0.1943,1,,,0,3,57,895.69,0.6023,8,777.61,37,0.2605,6.0,0.1858,0.6438,0,1
APP0004671,female,metro,21-30,29,graduate,salaried_informal,9100.0,39800.0,12,consumer_durable,0.4264,0,602.0,32.0,1,1,46,1546.09,0.7187,11,2783.25,22,0.1616,13.0,0.0,0.4649,0,1
APP0004917,female,metro,31-40,34,graduate,self_employed,5500.0,44000.0,12,education,0.78,0,441.0,10.0,1,0,49,1701.08,0.9021,6,660.2,45,0.0,30.0,0.0397,0.0364,0,1
APP0004958,male,tier2,31-40,36,graduate,self_employed,6300.0,30700.0,24,two_wheeler,0.2376,1,,,0,2,49,1158.28,0.798,6,521.22,38,0.1729,34.0,0.0325,0.226,0,1
APP0005193,male,metro,21-30,28,higher_secondary,self_employed,10600.0,15800.0,6,two_wheeler,0.2907,0,728.0,38.0,3,2,59,1208.49,1.2395,14,783.31,30,0.4158,132.0,0.4261,1.0,1,0
APP0005331,female,tier3,21-30,29,higher_secondary,salaried_formal,19600.0,37300.0,6,business_working_capital,0.3711,0,730.0,7.0,2,0,71,5078.14,0.451,14,3336.62,17,0.7549,106.0,0.6099,0.3583,0,0
APP0005395,female,tier3,41-50,42,postgraduate,salaried_formal,24500.0,209600.0,18,education,0.5561,1,,,0,2,70,5864.81,0.3853,10,4418.13,19,0.7151,48.0,0.6979,0.5699,0,0
APP0005449,male,rural,31-40,35,higher_secondary,self_employed,7800.0,16100.0,12,consumer_durable,0.2013,1,,,0,2,48,1180.19,0.9011,13,634.39,30,0.0,26.0,0.7474,0.3767,0,0
APP0005609,male,tier2,31-40,35,higher_secondary,salaried_informal,7300.0,27100.0,12,business_working_capital,0.362,0,595.0,39.0,1,5,54,1054.92,1.0102,16,638.38,29,0.4056,42.0,0.7581,0.7685,0,1
APP0005682,female,metro,41-50,49,postgraduate,salaried_informal,14000.0,127300.0,6,education,1.7731,0,714.0,9.0,3,0,77,4420.56,0.7616,18,7799.23,15,0.9309,43.0,0.3473,1.0,0,1
APP0005688,male,metro,31-40,39,graduate,salaried_formal,12300.0,49500.0,24,consumer_durable,0.1962,0,544.0,15.0,0,2,53,2354.11,0.3787,13,3207.65,34,0.4125,72.0,0.5498,0.4961,1,0
APP0005814,female,tier3,21-30,28,higher_secondary,salaried_formal,16800.0,119500.0,12,consumer_durable,0.6935,0,541.0,102.0,2,1,60,3223.16,0.3118,13,10423.55,22,0.4289,44.0,0.1858,0.4834,1,1
APP0005857,female,tier3,21-30,29,graduate,salaried_informal,8200.0,28200.0,12,business_working_capital,0.3353,1,,,0,0,54,2376.35,0.2565,10,1361.7,20,0.3285,70.0,0.5601,0.663,0,0
APP0005879,female,tier2,41-50,43,upto_secondary,salaried_informal,14000.0,33400.0,12,two_wheeler,0.2326,0,693.0,38.0,2,2,74,3516.46,0.3067,16,3480.29,12,0.7706,44.0,0.4782,0.4707,0,0
APP0005938,female,rural,21-30,28,higher_secondary,salaried_informal,9200.0,54900.0,6,education,1.1636,1,,,0,0,57,1734.14,0.8448,12,2006.18,19,0.3495,84.0,0.2048,0.3969,0,1
APP0005967,male,tier2,31-40,40,postgraduate,self_employed,5100.0,28700.0,18,education,0.3658,1,,,0,0,58,835.46,0.5,10,1421.34,31,0.509,72.0,0.5478,0.5937,1,0
APP0006045,male,tier3,41-50,46,graduate,salaried_informal,9700.0,28400.0,24,consumer_durable,0.1427,0,577.0,15.0,0,1,57,1758.0,0.4014,8,3179.23,26,0.8671,22.0,0.1133,0.3586,0,1
APP0006120,female,tier2,31-40,33,postgraduate,agri,5000.0,27900.0,12,consumer_durable,0.544,0,518.0,16.0,2,0,67,1275.31,0.8605,13,567.24,27,0.4256,4.0,0.1319,0.3669,0,1
APP0006177,male,rural,31-40,33,graduate,self_employed,12400.0,56400.0,12,education,0.4435,1,,,0,0,54,2574.16,0.4279,7,1638.2,23,0.4541,13.0,0.3308,0.1884,0,0
APP0006267,male,rural,21-30,25,upto_secondary,agri,6900.0,43300.0,24,two_wheeler,0.3059,1,,,0,0,51,974.26,1.3152,6,438.2,43,0.0494,52.0,0.6123,0.7804,0,1
APP0006317,male,tier2,31-40,39,higher_secondary,gig_worker,15300.0,52000.0,18,education,0.2209,1,,,0,1,65,3727.12,0.8601,10,3353.87,11,0.6125,39.0,0.855,0.9213,1,0
APP0006405,male,tier2,31-40,34,graduate,agri,9600.0,32800.0,24,medical,0.1666,1,,,0,1,67,1543.4,0.4794,14,1185.67,22,0.2217,31.0,0.5006,0.1687,1,0
APP0006464,male,rural,41-50,41,graduate,self_employed,10500.0,14000.0,12,education,0.13,0,734.0,19.0,1,1,80,2624.29,0.4986,10,3493.17,13,0.4444,31.0,0.3508,0.7495,0,0
APP0006516,male,tier2,21-30,25,graduate,agri,6600.0,19200.0,12,consumer_durable,0.2836,1,,,0,1,53,1116.54,0.8361,13,686.26,37,0.1743,27.0,0.4871,0.3619,1,0
APP0006554,female,tier3,31-40,37,upto_secondary,salaried_formal,31200.0,70800.0,6,medical,0.4425,1,,,0,1,58,8240.79,0.3421,10,16448.71,7,0.5807,27.0,0.2396,0.2463,0,0
APP0006606,female,metro,41-50,43,graduate,salaried_informal,7700.0,34700.0,24,business_working_capital,0.2197,0,627.0,120.0,1,1,45,1510.29,0.9795,9,755.79,40,0.2033,45.0,0.0719,0.5649,0,1
APP0006847,female,metro,51+,52,higher_secondary,self_employed,19400.0,107300.0,18,two_wheeler,0.3595,0,592.0,66.0,3,2,69,3423.01,0.2928,12,2227.5,8,0.4364,40.0,0.3778,0.3102,1,1
APP0006888,female,metro,21-30,29,higher_secondary,self_employed,11500.0,55200.0,24,business_working_capital,0.234,1,,,0,1,64,1936.72,0.8069,13,3070.4,13,0.6421,47.0,0.1719,0.6375,1,0
APP0007255,female,rural,31-40,35,upto_secondary,salaried_formal,12400.0,66300.0,12,consumer_durable,0.5213,1,,,0,1,53,1936.06,0.7327,8,2617.24,33,0.0,6.0,0.234,0.2381,2,1
APP0007304,male,tier3,31-40,32,upto_secondary,gig_worker,7000.0,50400.0,6,education,1.404,0,611.0,55.0,1,1,51,1587.08,0.7674,8,1167.71,30,0.1691,31.0,0.0843,0.215,0,1
APP0007937,male,tier3,41-50,44,higher_secondary,salaried_informal,23300.0,113900.0,36,business_working_capital,0.1589,0,697.0,26.0,1,1,62,2666.75,0.4229,14,5293.04,18,0.9125,19.0,0.9939,1.0,0,0
APP0008155,male,tier2,41-50,50,upto_secondary,gig_worker,24000.0,134600.0,6,business_working_capital,1.0936,0,669.0,78.0,3,0,66,4695.78,0.05,10,7532.76,7,0.7818,46.0,0.2471,0.0,2,0
APP0008166,male,tier2,31-40,38,graduate,salaried_formal,23400.0,58700.0,18,education,0.1631,0,654.0,60.0,1,2,50,5112.63,0.7232,8,6247.02,15,0.5719,40.0,1.0,0.7992,0,0
APP0008191,female,tier3,31-40,37,graduate,salaried_informal,8500.0,119100.0,24,two_wheeler,0.6831,1,,,0,1,53,1392.44,0.7907,9,3161.56,18,0.6514,74.0,0.2212,0.2027,1,1
APP0008255,female,tier2,21-30,27,graduate,salaried_formal,12900.0,135100.0,12,business_working_capital,1.0211,0,594.0,52.0,2,0,53,3178.67,0.8705,14,1386.0,21,0.8764,33.0,0.4703,0.4062,1,1
APP0008276,male,tier3,21-30,30,graduate,salaried_informal,14800.0,31600.0,12,consumer_durable,0.2082,1,,,0,0,54,2505.75,0.2766,13,1321.59,6,0.9157,17.0,0.3544,0.7278,0,0
APP0008318,male,metro,31-40,39,graduate,agri,8300.0,25600.0,12,education,0.3007,1,,,0,2,63,1935.23,0.7113,11,1073.82,32,0.3566,63.0,0.0106,0.3078,0,1
APP0008405,female,tier2,31-40,39,upto_secondary,salaried_informal,13300.0,50100.0,12,consumer_durable,0.3673,0,713.0,16.0,0,1,65,3259.13,0.7356,15,2963.54,20,0.4964,29.0,1.0,0.8201,2,1
APP0008425,female,tier3,41-50,41,upto_secondary,self_employed,39700.0,182000.0,6,consumer_durable,0.894,1,,,0,1,82,12964.43,0.4458,15,7859.23,3,0.8905,8.0,0.1366,0.1177,1,1
APP0008627,male,rural,41-50,47,upto_secondary,agri,6600.0,15200.0,12,medical,0.2245,0,483.0,2.0,2,3,53,1427.58,1.115,8,877.28,48,0.0,12.0,0.7963,0.7643,0,1
APP0008662,male,tier2,41-50,50,postgraduate,gig_worker,6100.0,33100.0,12,medical,0.5291,0,699.0,52.0,2,4,53,1373.17,0.9427,10,762.22,39,0.0,31.0,0.9335,0.7546,0,0
APP0008687,male,metro,31-40,31,graduate,self_employed,6900.0,21900.0,18,business_working_capital,0.2063,1,,,0,6,53,978.3,0.8731,8,1157.1,26,0.1038,10.0,0.1425,0.3074,0,1
APP0008753,male,tier2,21-30,30,graduate,salaried_formal,13600.0,78500.0,18,business_working_capital,0.3752,1,,,0,0,45,2847.65,0.6365,11,1313.96,29,0.512,11.0,0.472,0.8956,0,1
APP0008988,female,tier3,41-50,43,higher_secondary,salaried_informal,25300.0,64400.0,24,business_working_capital,0.1241,0,752.0,49.0,1,2,73,3935.02,0.309,20,6031.61,5,0.9398,30.0,0.6049,0.5751,2,0
APP0009033,male,metro,21-30,30,higher_secondary,salaried_formal,38600.0,179100.0,36,medical,0.1508,0,637.0,77.0,2,0,62,5341.0,0.7318,19,8816.36,17,0.87,25.0,0.4963,1.0,0,0
APP0009183,female,tier2,31-40,31,graduate,agri,5000.0,37200.0,18,two_wheeler,0.4836,0,609.0,29.0,0,1,51,1232.06,0.9731,10,857.33,31,0.1153,62.0,0.2924,0.7518,0,0
APP0009226,female,metro,41-50,42,upto_secondary,salaried_informal,14600.0,93400.0,12,education,0.6237,1,,,0,0,65,4389.62,0.3924,13,3425.1,8,0.9567,125.0,0.7715,0.883,0,1
APP0009288,male,tier2,41-50,46,higher_secondary,gig_worker,5500.0,37500.0,6,consumer_durable,1.3295,1,,,0,0,58,1329.94,0.805,11,808.49,43,0.0131,24.0,1.0,1.0,0,1
APP0009298,male,rural,31-40,40,graduate,salaried_formal,20500.0,46500.0,18,business_working_capital,0.1474,0,636.0,92.0,3,1,50,3132.17,0.6575,13,5173.9,14,0.8424,74.0,0.3863,0.544,0,0
APP0009313,male,tier3,31-40,33,higher_secondary,gig_worker,14700.0,80400.0,18,consumer_durable,0.3555,0,762.0,46.0,1,0,65,2418.73,0.6693,12,1114.42,16,0.8121,22.0,0.257,0.0,0,1
APP0009327,female,tier2,31-40,38,graduate,salaried_informal,8600.0,67100.0,6,education,1.5215,0,642.0,33.0,2,0,66,1998.75,1.0117,8,2607.78,14,0.5196,21.0,0.3647,0.7546,2,1
APP0009450,female,metro,31-40,39,graduate,salaried_informal,10500.0,36900.0,18,education,0.2284,1,,,0,0,68,3024.68,0.5001,13,2008.51,23,0.4701,73.0,0.5385,0.9134,0,0
APP0009601,female,rural,31-40,31,upto_secondary,self_employed,10800.0,66800.0,6,consumer_durable,1.2061,0,666.0,30.0,1,1,62,3269.91,0.8539,14,2662.95,31,0.2325,18.0,0.6633,0.8374,1,0
APP0009803,female,metro,21-30,29,higher_secondary,gig_worker,11300.0,99500.0,12,two_wheeler,0.8585,1,,,0,0,63,1783.83,0.6232,10,2182.61,23,0.5257,24.0,0.1702,0.6361,0,1
APP0009812,male,metro,21-30,29,upto_secondary,gig_worker,5900.0,39900.0,24,consumer_durable,0.3297,0,612.0,14.0,2,1,58,1410.05,1.0343,4,548.79,43,0.069,50.0,0.4855,0.6359,1,1
APP0009979,female,metro,21-30,30,higher_secondary,salaried_formal,8700.0,70800.0,12,business_working_capital,0.7934,0,505.0,61.0,4,2,50,1377.99,0.9404,8,1465.39,29,0.6421,16.0,0.323,0.2764,1,1
APP0010002,male,rural,41-50,43,upto_secondary,salaried_formal,21000.0,142400.0,6,business_working_capital,1.3223,0,789.0,83.0,3,2,59,3383.9,0.3362,10,6248.75,12,0.6262,94.0,0.6668,1.0,0,1
APP0010005,female,tier2,21-30,25,upto_secondary,salaried_informal,14100.0,27300.0,12,education,0.1888,1,,,0,2,54,3832.34,0.6363,4,4644.88,28,0.5535,50.0,0.4831,0.716,0,0
APP0010049,female,rural,31-40,31,upto_secondary,agri,5000.0,35900.0,12,two_wheeler,0.7,1,,,0,1,57,1744.3,0.6089,16,1059.7,27,0.5586,44.0,0.9256,0.9212,0,1
APP0010149,male,tier3,31-40,31,higher_secondary,agri,7500.0,26700.0,24,education,0.1735,0,541.0,13.0,0,0,57,1010.86,0.0729,14,1527.49,24,0.3191,37.0,0.1754,0.7677,0,1
APP0010200,female,tier3,31-40,34,upto_secondary,self_employed,26400.0,119400.0,24,business_working_capital,0.2205,0,717.0,23.0,1,2,76,6105.32,0.2844,17,7311.51,7,0.7106,13.0,1.0,0.9913,0,0
APP0010245,female,metro,41-50,47,graduate,salaried_formal,30100.0,78700.0,12,education,0.2549,0,685.0,51.0,2,1,66,6474.63,0.3522,16,7901.69,10,0.6174,36.0,0.0911,0.2887,2,0
APP0010249,female,rural,31-40,33,graduate,salaried_formal,36400.0,248300.0,12,business_working_capital,0.6651,0,587.0,64.0,1,1,69,7047.8,0.5091,10,4229.57,9,0.9142,44.0,0.6902,0.3607,1,0
APP0010252,female,rural,21-30,27,upto_secondary,gig_worker,14700.0,41900.0,24,consumer_durable,0.139,0,621.0,45.0,2,0,76,3449.43,0.5923,14,4886.76,18,0.2543,64.0,0.5033,0.3936,0,0
APP0010426,male,tier3,41-50,47,higher_secondary,gig_worker,12900.0,47700.0,24,two_wheeler,0.1803,1,,,0,1,59,3380.78,0.684,9,2336.33,23,0.8114,21.0,0.0,0.1423,1,0
APP0010447,male,tier2,21-30,29,higher_secondary,salaried_formal,74600.0,155500.0,36,education,0.0677,0,752.0,23.0,0,1,79,15478.22,0.6211,19,19861.41,4,0.9224,40.0,0.335,0.2718,0,0
APP0010745,male,metro,41-50,43,upto_secondary,salaried_formal,39400.0,366200.0,24,education,0.4531,1,,,0,0,66,6564.61,0.6304,19,16191.92,12,0.8,31.0,0.7806,0.7676,1,1
APP0010747,male,rural,21-30,29,graduate,salaried_informal,6600.0,20800.0,24,business_working_capital,0.1536,1,,,0,1,56,1378.84,1.1466,10,622.57,44,0.0,14.0,0.3387,0.1139,0,1
APP0010880,male,tier3,41-50,44,higher_secondary,gig_worker,5900.0,14600.0,12,business_working_capital,0.2413,1,,,0,0,50,1158.08,1.1816,14,767.9,37,0.0,44.0,0.1741,0.2143,0,1
APP0010924,female,metro,21-30,27,upto_secondary,salaried_informal,6000.0,21300.0,36,consumer_durable,0.1154,0,376.0,38.0,0,1,45,1179.38,0.8889,10,664.67,28,0.1671,19.0,0.0877,0.2166,1,1
APP0010937,male,rural,21-30,29,upto_secondary,gig_worker,6600.0,26100.0,6,medical,0.7711,1,,,0,1,51,1403.14,0.7512,11,1207.93,43,0.0952,81.0,0.351,0.4081,1,1
APP0011016,male,rural,41-50,45,upto_secondary,gig_worker,7100.0,43200.0,6,consumer_durable,1.1865,1,,,0,1,48,1525.2,1.0261,15,1530.66,32,0.5136,43.0,0.7952,0.5598,0,0
APP0011086,male,rural,21-30,26,higher_secondary,salaried_formal,31600.0,108900.0,18,two_wheeler,0.224,1,,,0,3,48,7724.49,0.4369,17,1699.65,18,0.4494,43.0,0.6623,0.5147,1,0
APP0011117,female,tier3,41-50,42,graduate,agri,7700.0,57000.0,36,education,0.2406,0,507.0,37.0,0,2,50,2175.93,0.7265,8,834.43,24,0.2051,37.0,0.4495,0.7053,0,0
APP0011167,female,tier3,31-40,31,graduate,gig_worker,5300.0,20300.0,12,consumer_durable,0.3734,1,,,0,2,48,1787.98,0.977,7,1029.98,39,0.0223,19.0,0.6381,0.0,0,1
APP0011171,male,tier3,31-40,32,higher_secondary,gig_worker,5900.0,12700.0,36,two_wheeler,0.07,0,673.0,13.0,3,0,54,1012.9,0.7176,19,686.95,38,0.0,20.0,0.0,0.2069,2,1
APP0011187,female,metro,21-30,25,higher_secondary,self_employed,8700.0,36200.0,12,two_wheeler,0.4057,0,643.0,75.0,0,1,45,1850.46,0.7163,9,1809.76,34,0.1363,28.0,0.4199,0.4256,1,1
APP0011286,male,metro,31-40,34,higher_secondary,salaried_formal,50100.0,117800.0,6,business_working_capital,0.4585,0,802.0,96.0,2,0,52,8727.03,0.1088,10,16873.92,1,1.0,42.0,0.9493,0.1891,0,0
APP0011397,male,metro,31-40,31,graduate,self_employed,7800.0,31800.0,24,education,0.1988,0,752.0,47.0,1,4,53,2131.84,0.5307,11,1516.57,20,0.5233,24.0,0.2585,0.4631,1,0
APP0011453,female,metro,21-30,28,graduate,gig_worker,8600.0,115300.0,12,business_working_capital,1.3072,1,,,0,3,51,2435.4,0.8717,13,879.07,18,0.5868,41.0,0.6793,0.7307,0,1
